subject_id,subject_label,predicate_id,object_id,object_label,mapping_justification,mapping_date,author_id,subject_source,confidence,comment
wdt:Q12206,Diabetes,skos:exactMatch,MONDO:0005015,Diabetes Melitus,semapv: ManualMappingCuration,23-01-2026,0009-0009-5289-5356,,1,Mondo was matched to the item due to being assigned within the related property. Both subject and object describe the Diabetus Melitus disease group 
wdt:Q12206,Diabetes,skos:exactMatch,SCTID: 73211009,Diabetes Melitus (Disorder),semapv: ManualMappingCuration,23-01-2026,0009-0009-5289-5356,,1,Disease Ontology was matched to the item due to being assigned within the related property. They both describe the Diabetus Melitus disease group 
wdt:Q12206,Diabetes,skos:exactMatch,SNOMED-CT ID: 73211009,Diabetes mellitus (disorder),semapv: ManualMappingCuration,01-01-2026,0009-0009-5289-5356,,1,SNOMED-CT was matched to the item due to being assigned within the related property. They both describe the Diabetus Melitus disease group
wdt:Q12206,Diabetes,skos:narrowMatch,Orphanet ID: 101952,Rare diabetes mellitus,semapv: ManualMappingCuration,01-01-2026,0009-0009-5289-5356,,0.95,"Orphanet Disease Ontology specifically highlights Rare diabetes melitus, this can be understood as a subgroup of Diabetus Melitus all together. "
